,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
49,32554,26.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24,26669.84332358939
50,43306,31.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44,26669.84332358939
51,9693,35.0,4.5,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,26669.84332358939
52,8467,22.0,4.7,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,26669.84332358939
53,40278,38.0,4.8,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19,26669.84332358939
54,22825,22.0,2.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37,26669.84332358939
55,15460,24.0,4.8,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,26669.84332358939
56,5860,30.0,4.3,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,26669.84332358939
57,22802,36.0,4.4,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42,26669.84332358939
58,16266,38.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46,26669.84332358939
59,30494,34.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,26669.84332358939
60,45124,24.0,4.7,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12,26669.84332358939
61,24387,21.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19,26669.84332358939
62,10059,33.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,26669.84332358939
63,8975,30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27,26669.84332358939
64,3106,22.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27,26669.84332358939
65,2676,20.0,4.7,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,10,26669.84332358939
66,38074,25.0,4.7,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,10,26669.84332358939
67,11444,25.0,4.9,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,12,26669.84332358939
68,20024,34.0,4.7,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41,26669.84332358939
69,31288,21.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,26669.84332358939
70,39262,21.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,26669.84332358939
71,25072,22.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,26,26669.84332358939
72,45408,24.0,4.5,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,16,26669.84332358939
73,15617,28.0,4.6,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,26669.84332358939
74,10089,27.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,,23,26669.84332358939
75,14712,23.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19,26669.84332358939
76,25253,22.0,4.5,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,26669.84332358939
77,24679,36.0,5.0,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,22,26669.84332358939
78,7724,35.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,26669.84332358939
79,1411,27.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,26669.84332358939
80,14736,37.0,4.8,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,30,26669.84332358939
81,4639,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,26669.84332358939
82,29786,33.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,26669.84332358939
83,29314,30.0,5.0,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,26669.84332358939
84,19384,22.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,26669.84332358939
85,15107,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,33,26669.84332358939
86,43332,30.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,26669.84332358939
87,43139,36.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,26669.84332358939
88,18326,33.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,13,26669.84332358939
89,4526,30.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,26,26669.84332358939
90,45247,22.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,26669.84332358939
91,34931,34.0,4.7,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,26669.84332358939
92,22896,31.0,4.6,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,36,26669.84332358939
93,32892,35.0,4.4,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,37,26669.84332358939
94,19357,33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41,26669.84332358939
95,13438,,,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,32,26669.84332358939
96,44907,32.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,42,26669.84332358939
97,14680,33.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,20,26669.84332358939
98,8165,24.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37,26669.84332358939
99,15390,20.0,4.3,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,46,26669.84332358939
100,19628,35.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,26669.84332358939
101,42694,28.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,26669.84332358939
102,25562,26.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,35,26669.84332358939
103,11327,23.0,4.9,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26,26669.84332358939
104,14606,31.0,4.9,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,35,26669.84332358939
105,24157,29.0,4.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,19,26669.84332358939
106,42378,,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,31,26669.84332358939
107,7152,39.0,4.6,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,26669.84332358939
108,28209,21.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,26669.84332358939
109,28762,26.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,26669.84332358939
110,24910,29.0,4.7,Sandstorms,High,1,Drinks,scooter,0.0,,Metropolitian,11,26669.84332358939
111,18869,34.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26,26669.84332358939
112,24136,30.0,4.6,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,17,26669.84332358939
113,45284,34.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,26669.84332358939
114,31420,33.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35,26669.84332358939
115,4202,23.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17,26669.84332358939
116,2239,33.0,4.3,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,27,26669.84332358939
117,18841,23.0,4.6,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,26669.84332358939
118,14875,31.0,5.0,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28,26669.84332358939
119,1412,39.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,,34,26669.84332358939
120,37585,20.0,4.7,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,19,26669.84332358939
121,20496,37.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,26669.84332358939
122,6612,,,Stormy,Low,2,Snack,scooter,1.0,No,,14,26669.84332358939
123,36147,31.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,26669.84332358939
124,5679,22.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,18,26669.84332358939
125,3560,30.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,26669.84332358939
126,6186,38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,26669.84332358939
127,20082,34.0,4.1,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,37,26669.84332358939
128,5878,34.0,3.5,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,26669.84332358939
129,14518,28.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,26669.84332358939
130,4097,27.0,5.0,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,16,26669.84332358939
131,25308,,,Fog,High,0,Drinks,motorcycle,1.0,No,Urban,28,26669.84332358939
132,36285,22.0,4.3,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,42,26669.84332358939
133,26073,31.0,4.1,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41,26669.84332358939
134,25577,35.0,5.0,Cloudy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,28,26669.84332358939
135,43567,30.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,32,26669.84332358939
136,6871,35.0,4.0,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,26669.84332358939
137,21350,35.0,4.8,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38,26669.84332358939
138,8231,24.0,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,26669.84332358939
139,12969,36.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49,26669.84332358939
140,3635,27.0,5.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,23,26669.84332358939
141,3096,39.0,4.8,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,27,26669.84332358939
142,24580,22.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,32,26669.84332358939
143,12617,39.0,4.4,Windy,Jam,0,Drinks,motorcycle,3.0,Yes,Metropolitian,54,26669.84332358939
144,29712,29.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,11,26669.84332358939
145,39750,39.0,4.1,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,26669.84332358939
146,26814,34.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,26669.84332358939
147,40013,36.0,4.5,Sunny,High,2,Drinks,scooter,1.0,No,Urban,15,26669.84332358939
148,8450,35.0,4.9,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,26669.84332358939
149,32266,27.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,11,26669.84332358939
150,33278,29.0,2.6,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,26669.84332358939
151,6914,,,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,30,26669.84332358939
152,39416,30.0,4.3,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,36,26669.84332358939
153,21502,23.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,17,26669.84332358939
154,45394,23.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,22,26669.84332358939
155,14447,32.0,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,26669.84332358939
156,4342,26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,26669.84332358939
157,4998,25.0,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,26669.84332358939
158,20649,36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,26669.84332358939
159,6898,23.0,4.6,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,20,26669.84332358939
160,24184,24.0,4.6,Windy,Low,1,Drinks,scooter,1.0,No,Urban,16,26669.84332358939
161,10065,26.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,26669.84332358939
162,35279,36.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,26669.84332358939
163,24015,31.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,34,26669.84332358939
164,21245,37.0,4.2,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,34,26669.84332358939
165,26135,38.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,26669.84332358939
166,43882,26.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,16,26669.84332358939
167,32614,20.0,4.9,Fog,Low,2,Meal,motorcycle,0.0,No,Urban,14,26669.84332358939
168,36548,26.0,4.9,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,26669.84332358939
169,20166,35.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,26669.84332358939
170,7722,34.0,4.4,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,39,26669.84332358939
171,19293,22.0,4.9,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,26669.84332358939
172,1357,25.0,4.5,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,11,26669.84332358939
173,21998,36.0,4.7,Sandstorms,Medium,2,Meal,scooter,0.0,No,Urban,28,26669.84332358939
174,2525,34.0,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2.0,Yes,Urban,41,26669.84332358939
175,13282,37.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Urban,29,26669.84332358939
176,9027,26.0,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,16,26669.84332358939
177,35870,28.0,4.2,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,49,26669.84332358939
178,30633,25.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,,Metropolitian,10,26669.84332358939
179,39357,32.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,,17,26669.84332358939
180,18392,26.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28,26669.84332358939
181,16993,37.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,26669.84332358939
182,25285,31.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,26669.84332358939
183,35185,27.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,15,26669.84332358939
184,44949,39.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,26669.84332358939
185,21046,28.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Urban,15,26669.84332358939
186,37365,28.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,26669.84332358939
187,43043,26.0,4.5,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,26669.84332358939
188,28095,39.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,22,26669.84332358939
189,8133,26.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,14,26669.84332358939
190,5306,30.0,3.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,26669.84332358939
191,2577,33.0,4.4,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48,26669.84332358939
192,41623,27.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,26669.84332358939
193,44466,37.0,4.9,Sandstorms,High,2,Snack,scooter,0.0,No,Metropolitian,26,26669.84332358939
194,7978,27.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,26669.84332358939
195,20794,39.0,4.8,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,26669.84332358939
196,5421,28.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,15,26669.84332358939
197,14883,34.0,3.7,Fog,Low,1,Meal,motorcycle,2.0,No,Metropolitian,33,26669.84332358939
198,8982,31.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15,26669.84332358939
199,30634,38.0,4.9,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,31,26669.84332358939
200,7409,34.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23,26669.84332358939
201,12507,,,,,3,Snack,electric_scooter,2.0,No,Urban,40,26669.84332358939
202,251,,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,26669.84332358939
203,35570,37.0,4.4,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,26669.84332358939
204,12083,28.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,26669.84332358939
205,36010,37.0,4.5,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,51,26669.84332358939
206,4819,37.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,29,26669.84332358939
207,34442,37.0,4.6,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,25,26669.84332358939
208,19652,22.0,4.8,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,19,26669.84332358939
209,20966,39.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,26669.84332358939
210,26389,26.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,26669.84332358939
211,20417,35.0,4.3,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,26669.84332358939
212,40484,30.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,27,26669.84332358939
213,35120,27.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Urban,28,26669.84332358939
214,8860,30.0,4.6,Stormy,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,54,26669.84332358939
215,26354,30.0,5.0,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,27,26669.84332358939
216,32645,23.0,4.6,Fog,High,1,Buffet,motorcycle,2.0,No,Metropolitian,33,26669.84332358939
217,29368,32.0,4.7,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,26669.84332358939
218,31751,31.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,26669.84332358939
219,45051,32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,26669.84332358939
220,542,20.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,11,26669.84332358939
221,3852,24.0,4.8,Stormy,Medium,1,Snack,scooter,0.0,No,Urban,25,26669.84332358939
222,12033,37.0,4.5,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,16,26669.84332358939
223,6002,27.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,15,26669.84332358939
224,5198,20.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,22,26669.84332358939
225,27565,36.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Urban,45,26669.84332358939
226,39492,24.0,4.9,Windy,Low,2,Drinks,scooter,,No,Urban,11,26669.84332358939
227,8354,28.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,10,26669.84332358939
228,24393,32.0,4.7,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,26,26669.84332358939
229,39817,33.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,26669.84332358939
230,25334,21.0,4.7,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,44,26669.84332358939
231,12423,38.0,4.7,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Urban,28,26669.84332358939
232,20819,28.0,4.7,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,26,26669.84332358939
233,42962,36.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,36,26669.84332358939
234,26078,26.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,27,26669.84332358939
235,45573,30.0,4.6,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,26669.84332358939
236,39774,23.0,4.9,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,26,26669.84332358939
237,39751,38.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,26669.84332358939
238,6326,33.0,4.7,Fog,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,17,26669.84332358939
239,13413,28.0,4.9,Stormy,High,0,Meal,motorcycle,1.0,No,Urban,22,26669.84332358939
240,2917,28.0,4.8,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,26669.84332358939
241,2229,22.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,22,26669.84332358939
242,22807,27.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,26669.84332358939
243,16158,20.0,4.4,Fog,Jam,1,Meal,scooter,2.0,No,,32,26669.84332358939
244,7963,25.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,26669.84332358939
245,26827,21.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,26669.84332358939
246,31905,29.0,5.0,Fog,Medium,1,Drinks,motorcycle,,No,Urban,30,26669.84332358939
247,20458,34.0,4.8,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,42,26669.84332358939
248,39060,22.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,26669.84332358939
